decade,action,animation,comedy,crime,documentation,drama,european,family,fantasy,history,horror,music,reality,romance,scifi,sport,thriller,war,western
50,1,0,2,4,0,5,0,0,0,0,0,0,0,4,0,0,2,0,0
60,5,0,1,1,0,4,2,0,0,1,0,0,0,1,0,0,0,3,1
70,7,0,7,5,5,10,2,1,2,1,0,2,0,6,0,0,3,1,0
80,13,6,21,11,4,35,7,8,2,0,2,1,0,9,5,0,5,6,0
90,45,12,57,24,13,78,11,20,15,5,4,4,3,32,19,4,31,4,5
100,130,72,212,77,36,244,50,61,58,16,30,14,8,96,39,15,103,22,2
110,755,486,1607,596,668,2030,367,468,428,183,276,189,151,624,410,110,839,108,28
